51%|А06%|5*%|АМЕБЕН АПСЦЕС НА БЕЛ ДРОБ(Ј99.8*)   
52%|А06%|6*%|АМЕБЕН АПСЦЕС НА МОЗОКОТ(G07*)   
53%|А06%|7%|КУТАНА АМЕБИЈАЗА   
54%|А06%|8%|АМЕБНА ИНФЕКЦИЈА НА ДРУГИ  ЛОКАЛИЗАЦИИ   
55%|А06%|9%|АМЕБИЈАЗА НЕОЗНАЧЕНО  
56%|А07%|0%|ДРУГИ ПРОТОЗОАЛНИ ЦРЕВНИ БОЛЕСТИ   
57%|А07%|0%|БАЛАНТИДИЈАЗА   
58%|А07%|1%|ГИЈАРДИЈАЗА (ЛАМБЛИЈАЗА)   
59%|А07%|2%|КРИПТОСПОРИДИОЗА   
60%|А07%|3%|ИЗОСПОРИЈАЗА   
61%|А07%|8%|ДРУГИ ОЗНАЧЕНИ ПРОТОЗОАЛНИ ЦРЕВНИ БОЛЕСТИ   
62%|А07%|9%|ПРОТОЗОАЛНА ЦРЕВНА БОЛЕСТ НЕОЗНАЧЕНО  
63%|А08%|0%|ВИРУСНИ И ДРУГИ ОЗНАЧЕНИ ЦРЕВНИ ИНФЕКЦИИ   
64%|А08%|0%|РОТАВИРУСЕН ЕНТЕРИТ   
65%|А08%|1%|АКУТНА ГАСТРОЕНТЕРОПАТИЈА ПРЕДИЗВИКАНА СО NORTWALK АГЕНС   
66%|А08%|2%|АДЕНОВИРУСЕН ЕНТЕРИТ   
67%|А08%|3%|ДРУГ ВИРУСЕН ЕНТЕРИТ   
68%|А08%|4%|ВИРУСНА ЦРЕВНА ИНФЕКЦИЈА НЕОЗНАЧЕНО  
69%|А08%|5%|ДРУГИ ОЗНАЧЕНИ ЦРЕВНИ ИНФЕКЦИИ   
70%|А09%|0%|ДИЈАРЕЈА И ГАСТРОЕНТЕРИТ ЗА КОИ СЕ ПРЕТПОСТАВУВА ДЕКА СЕ ОД ИНФ.ПОТЕКЛО   
71%|А15%|0%|РЕСПИРАТОРНА ТУБЕРКУЛОЗА БАКТЕРИОЛОШКИ И ХИСТОЛОШКИ ПОТВРДЕНА  
72%|А15%|0%|ТУБЕРКУЛ.НА БЕЛ ДРОБ ПОТВРД.СО МИКРОСК.ПРЕГ.НА СПУТУМ СО ИЛИ БЕЗ КУЛТУРА  
73%|А15%|1%|ТУБЕРКУЛОЗА НА БЕЛ ДРОБ ПОТВРДЕНА САМО СО КУЛТУРА  
74%|А15%|2%|ТУБЕРКУЛОЗА НА БЕЛ ДРОБ ХИСТОЛИШКИ ПОТВРДЕНА  
75%|А15%|3%|ТУБЕРКУЛОЗА НА БЕЛ ДРБОБ ПОТВРДЕНА НА НЕОЗНАЧЕН НАЧИН  
76%|А15%|4%|ТУБЕРКУЛОЗА НА ИНТРАТОРАКАЛНИТЕ ЛИМФ.ЈАЗЛИ БАКТЕР.И ХИСТОЛ.ПОТВРДЕНА   
77%|А15%|5%|ТУБЕРКУЛОЗА НА ЛАРИНКС ТРАХЕЈА И БРОНХ БАКТЕРИОЛ.И ХИСТОЛО.ПОТВРДЕНА 
78%|А15%|6%|ТУБЕРКУЛОЗЕН ПЛЕВРИТ БАКТЕРИОЛОШКИ И ХИСТОЛОШКИ ПОТВРДЕН  
79%|А15%|7%|ПРИМАРНА РЕСПИРАТ.ТУБЕРКУЛ БАКТЕРИОЛ.И ХИСТОЛОШКИ ПОТВРДЕНА  
80%|А15%|8%|ДРУГА РЕСПИРАТОРНА ТУБЕРКУЛОЗА БАКТЕРИОЛОШКИ И ХИСТОЛОШКИ ПОТВРДЕНА  
81%|А15%|9%|РЕСПИРАТОРНА ТУБЕРКУЛОЗА НЕОЗНАЧЕНА БАКТЕРИОЛ.И ХИСТОЛОШКИ ПОТВРДЕНА  
82%|А16%|0%|РЕСПИРАТОРНА ТУБЕРКОЛОЗА БАКТЕРИОЛОШКИ И ХИСТОЛОШКИ НЕПОТВРДЕНА  
83%|А16%|0%|ТУБЕРКУЛОЗА НА БЕЛ ДРОБ БАКТЕРИОЛОШКИ И ХИСТОЛОШКИ НЕГАТИВНА  
84%|А16%|1%|ТУБЕРКУЛОЗА НА БЕЛ ДРОБ БАКТЕРИОЛ.И ХИСТОЛОШКО ИСПИТУВ.НЕ Е НАПРАВЕНО  
85%|А16%|2%|ТУБЕРКУЛОЗА НА БЕЛ ДРОБ БЕЗ СПОМНУВАЊЕ ЗА БАКТЕР.ИЛИ ХИСТОЛО.ПОТВРДА  
86%|А16%|3%|ТУБЕРКУЛОЗА НА ИНТРАТОРАКАЛНИ ЛИМФНИ ЈАЗЛИ БЕЗ СПОМН.БАКТЕ.И ХИСТ.ПОТВРДА  
87%|А16%|4%|ТУБЕРК.НА ЛАРИНКСОТ ТРАХЕЈА И БРОНХ БЕЗ СПОМН.НА БАКТЕ.И ХИСТ.ПОТВРДА 
88%|А16%|5%|ТУБЕРКУЛ. ПЛЕВРИТ БЕЗ СПОМНУВАЊЕ ЗА БАКТЕР.ИЛИ ХИСТОЛОШКА ПОТВРДА  
89%|А16%|7%|ПРИМАРНА РЕСПИРАТОРНА ТУБЕРКУЛОЗА БЕЗ СПОМН.ЗА БАКТ.И ХИСТ.ПОТВРДА  
90%|А16%|8%|ДРУГА РЕСПИР ТУБЕРК.БЕЗ СПОМН.ЗА БАКТЕРИО.И ХИСТОЛОШКА ПОТВРДА   
91%|А16%|9%|РЕСПИРАТОР.ТУБЕРК.НЕОЗНАЧ.БЕЗ СПОМНУВАЊЕ ЗА БАКТЕР.ИЛИ ХИСТ.ПОТВРДА   
92%|А17%|+%|ТУБЕРКУЛОЗА НА НЕРВНИОТ СИСТЕМ   
93%|А17%|0+%|ТУБЕРКУЛОЗЕН МЕНИНГИТ(GО1*)   
94%|А17%|1+%|МЕНИНГЕАЛЕН ТУБЕРКУЛОМ(GО7*)   
95%|А17%|8+%|ДРУГА ТУБЕРКУЛОЗА НА НЕРВНИОТ СИСТЕМ   
96%|А17%|9+%|ТУБЕРКУЛОЗА НА НЕРВНИОТ СИСТЕМ НЕОЗНАЧЕНО(G99.8*)  
97%|А18%|0%|ТУБЕРКУЛОЗА НА ДРУГИТЕ ОРГАНИ   
98%|А18%|0+%|ТУБЕРКУЛОЗА НА КОСКИТЕ И ЗГЛОБОВИТЕ   
99%|А18%|1+%|ТУБЕРКУЛОЗА НА ГЕНИТОУРИНАРНИОТ СИСТЕМ   
100%|А18%|2%|ТУБЕРКУЛОЗНА ПЕРИФЕРНА ЛИМФАДЕНОПАТИЈА   
101%|А18%|3%|ТУБЕРКУЛОЗА НА ЦРЕВАТА ПЕРИТОНЕУМОТ И МЕЗЕНТЕРИЈАЛНИТЕ ЖЛЕЗДИ  
102%|А18%|4%|ТУБЕРКУЛОЗА НА КОЖАТА И ПОТКОЖНОТО ТКИВО   
103%|А18%|5+%|ТУБЕРКУЛОЗА НА ОКО   
104%|А18%|6+%|ТУБЕРКУЛОЗА НА УВО   
105%|А18%|7+%|ТУБЕРКУЛОЗА НА НАДБУБРЕЖНИТЕ ЖЛЕЗДИ(Е35.1*)   
106%|А18%|8+%|ТУБЕРКУЛОЗА НА ДРУГИ ОЗНАЧЕНИ ОРГАНИ   
107%|А19%|0%|МИЛИЈАРНА ТУБЕРКУЛОЗА   
108%|А19%|0%|АКУТНА МИЛИЈАРНА ТУБЕРКУЛОЗА НА ЕДНО ОЗНАЧЕНО МЕСТО   
109%|А19%|1%|АКУТНА МИЛИЈАРНА ТУБЕРКУЛОЗА НА ПОВЕЌЕ МЕСТА   
110%|А19%|2%|АКУТНА МИЛИЈАРНА ТУБЕРКУЛОЗА НЕОЗНАЧЕНО  
111%|А19%|8%|ДРУГА МИЛИЈАРНА ТУБЕРКУЛОЗА   
112%|А19%|9%|МИЛИЈАРНА ТУБЕРКУЛОЗА НЕОЗНАЧЕНО  
113%|А20%|0%|ЧУМА   
114%|А20%|0%|БУБОНСКА ЧУМА   
115%|А20%|1%|ЦЕЛУЛОКУТАНА ЧУМА   
116%|А20%|2%|ПНЕВМОНИЧНА ЧУМА   
117%|А20%|3%|ЧУМА МЕНИНГИТ   
118%|А20%|7%|СЕПТИКЕМИЧНА ЧУМА   
119%|А20%|8%|ДРУГИ ФОРМИ НА ЧУМА   
120%|А20%|9%|ЧУМА НЕОЗНАЧЕНО  
121%|А21%|0%|ТУЛАРЕМИЈА   
122%|А21%|0%|УЛЦЕРОГЛАНДУЛАРНА ТУЛАРЕМИЈА   
123%|А21%|1%|ОКУЛОГЛАНДУЛАРНА ТУЛАРЕМИЈА   
124%|А21%|2%|ПУЛМОНАЛНА ТУЛАРЕМИЈА   
125%|А21%|3%|ГАСТРОИНТЕСТИНАЛНА ТУЛАРЕМИЈА   
126%|А21%|7%|ГЕНЕРАЛИЗИРАНА ТУЛАРЕМИЈА   
127%|А21%|8%|ДРУГИ ФОРМИ НА ТУЛАРЕМИЈА   
128%|А21%|9%|ТУЛАРЕМИЈА НЕОЗНАЧЕНО  
129%|А22%|0%|АНТРАКС   
130%|А22%|0%|КУТАН АНТРАКС   
131%|А22%|1%|ПУЛМОНАЛЕН АНТРАКС   
132%|А22%|2%|ГАСТРОИНТЕСТИНАЛЕН АНТРАКС   
133%|А22%|7%|АНТРАКСНА СЕПТИКЕМИЈА   
134%|А22%|8%|ДРУГИ ФОРМИ НА АНТРАКС   
135%|А22%|9%|АНТРАКС НЕОЗНАЧЕНО  
136%|А23%|0%|БРУЦЕЛОЗА   
137%|А23%|0%|БРУЦЕЛОЗА ПРЕДИЗВИКАНА СО BRUCELLA MELITENSIS   
138%|А23%|1%|БРУЦЕЛОЗА ПРЕДИЗВИКАНА СО BRUCELLA ABORTUS   
139%|А23%|2%|БРУЦЕЛОЗА ПРЕДИЗВИКАНА СО BRUCELLA SUIS   
140%|А23%|3%|БРУЦЕЛОЗА ПРЕДИЗВИКАНА СО BRUCELLA CANIS   
141%|А23%|8%|ДРУГА БРУЦЕЛОЗА   
142%|А23%|9%|БРУЦЕЛОЗА НЕОЗНАЧЕНО  
143%|А24%|0%|САКАГИЈА И МЕЛИОИДОЗА   
144%|А24%|0%|САКАГИЈА   
145%|А24%|1%|АКУТНА И ФУЛМИНАНТНА МЕЛИОИДОЗА   
146%|А24%|2%|СУБАКУТНА И ХРОНИЧНА МЕЛИОИДОЗА   
147%|А24%|3%|ДРУГА МЕЛИОИДОЗА   
148%|А24%|4%|МЕЛИОИДОЗА НЕОЗНАЧЕНО  
149%|А25%|0%|ТРЕСКА ПРЕДИЗВИКАНА СО КАСНУВАЊЕ ОД СТАОРЕЦ   
150%|А25%|0%|СПИРИЛОЗА   
151%|А25%|1%|СТРЕПТОБАЦИЛОЗА   
152%|А25%|9%|ТРЕСКА ПРЕДИЗВИКАНА СО КАСНУВАЊЕ ОД СТАОРЕЦ НЕОЗНАЧЕНО  
153%|А26%|0%|ЕРИЗИПЕЛОИД   
154%|А26%|0%|КУТАН ЕРИЗИПЕЛОИД   
155%|А26%|7%|ERYSIPELOTHRIX СЕПТИКЕМИЈА   
156%|А26%|8%|ДРУГИ ФОРМИ НА ЕРИЗИПЕЛОИД   
157%|А26%|9%|ЕРИЗИПЕЛОИД НЕОЗНАЧЕНО  
158%|А27%|0%|ЛЕПТОИСПИРОЗА   
159%|А27%|0%|ИКТЕРОХЕМОРАГИЧНА ЛЕПТОСПИРОЗА   
160%|А27%|8%|ДРУГИ ФОРМИ НА ЛЕПТОСПИРОЗА   
161%|А27%|9%|ЛЕПТОСПИРОЗА НЕОЗНАЧЕНО  
162%|А28%|0%|ДРУГИ ЗООНОЗНИ БАКТЕРИСКИ БОЛЕСТИ НЕКЛАСИФИЦИРАНИ НА ДРУГО МЕСТО   
163%|А28%|0%|ПАСТОРЕЛОЗА   
164%|А28%|1%|БОЛЕСТ ПРЕДИЗВИКАНА СО ГРЕБНУВАЊЕ ОД МАЧКА   
165%|А28%|2%|ЕКСТРАИНТЕСТИНАЛНА ЈЕРСИНИОЗА   
166%|А28%|8%|ДРУГИ ОЗНАЧЕНИ ЗООНСКИ БАКТЕРИСКИ БОЛЕСТИ НЕКЛАСИФИЦИРАНИ НА ДР.МЕСТО  
167%|А28%|9%|ЗООНОЗНА БАКТЕРИСКА БОЛЕСТ НЕОЗНАЧЕНО  
168%|А30%|0%|ЛЕПРА (HANSEN-ОВА БОЛЕСТ)   
169%|А30%|0%|НЕДЕТЕРМИНИРАНА ЛЕПРА   
170%|А30%|1%|ТУБЕРКУЛОИДНА ЛЕПРА   
171%|А30%|2%|ГРАНИЧНА ТУБЕРКУЛОИДНА ЛЕПРА   
172%|А30%|3%|ГРАНИЧНА ЛЕПРА   
173%|А30%|4%|ГРАНИЧНА ЛЕПРОМАТОЗНА ЛЕПРА   
174%|А30%|5%|ЛЕПРОМАТОЗНА ЛЕПРА   
175%|А30%|8%|ДРУГИ ФОРМИ НА ЛЕПРА   
176%|А30%|9%|ЛЕПРА НЕОЗНАЧЕНО  
177%|А31%|0%|ИНФЕКЦИЈА ПРЕДИЗВИКАНА СО ДРУГА МИКОБАКТЕРИЈА   
178%|А31%|0%|ПУЛМОНАЛНА МИКОБАКТЕРИСКА ИНФЕКЦИЈА   
179%|А31%|1%|КУТАНА МИКОБАКТЕРИСКА ИНФЕКЦИЈА   
180%|А31%|8%|ДРУГИ МИКОБАКТЕРИСКИ ИНФЕКЦИИ   
181%|А31%|9%|МИКОБАКТЕРИСКА ИНФЕКЦИЈА НЕОЗНАЧЕНО  
182%|А32%|0%|ЛИСТЕРИОЗА   
183%|А32%|0%|КУТАНА ЛИСТЕРИОЗА   
184%|А32%|1+%|ЛИСТЕРИЈАЛЕН МЕНИНГИТ И МЕНИНГОЕНЦЕФАЛИТ   
185%|А32%|7%|ЛИСТЕРИЈАЛНА СЕПТИКЕМИЈА   
186%|А32%|8%|ДРУГИ ФОРМИ НА ЛИСТЕРИОЗА   
187%|А32%|9%|ЛИСТЕРИОЗА НЕОЗНАЧЕНО  
188%|А33%|0%|ТЕТАНУС НЕОНАТОРУМ   
189%|А34%|0%|АКУШЕРСКИ ТЕТАНУС   
190%|А35%|0%|ДРУГ ТЕТАНУС   
191%|А36%|0%|ДИФТЕРИЈА   
192%|А36%|0%|ФАРИНГЕАЛНА ДИФТЕРИЈА   
193%|А36%|1%|НАЗОФАРИНГЕАЛНА ДИФТЕРИЈА   
194%|А36%|2%|ЛАРИНГЕАЛНА ДИФТЕРИЈА   
195%|А36%|3%|КУТАНА ДИФТЕРИЈА   
196%|А36%|8%|ДРУГА ДИФТЕРИЈА   
197%|А36%|9%|ДИФТЕРИЈА НЕОЗНАЧЕНО  
198%|А37%|0%|ПЕРТУСИС   
199%|А37%|0%|ПЕРТУСИС ПРЕДИЗВИКАН СО BORDETELLA PERTUSSIS   
200%|А37%|1%|ПЕРТУСИС ПРЕДИЗВИКАН СО BORDETELLA PARAPERTUSSIS   
201%|А37%|8%|ПЕРТУСИС ПРЕДИЗВИКАН СО ДРУГИ ВИДОВИ BORDETELLA   
202%|А37%|9%|ПЕРТУСИС НЕОЗНАЧЕНО  
203%|А38%|0%|ШАРЛАХ   
204%|А39%|0%|МЕНИНГОКОКНА ИНФЕКЦИЈА   
205%|А39%|0+%|МЕНИНГОКОКЕН МЕНИНГИТ (G01*)   
206%|А39%|1+%|WATERHOUSE-FRIDERICHSEN-ОВ СИНДРОМ(Е35.1*)   
207%|А39%|2%|АКУТНА МЕНИНГОКОКЦЕМИЈА   
208%|А39%|3%|ХРОНИЧНА МЕНИНГОКОКЦЕМИЈА   
209%|А39%|4%|МЕНИНГОКОКЦЕМИЈА НЕОЗНАЧЕНО  
210%|А39%|5+%|МЕНИНГОКОКНА СРЦЕВА БОЛЕСТ   
211%|А39%|8%|ДРУГИ МЕНИНГОКОКНИ ИНФЕКЦИИ   
212%|А39%|9%|МЕНИНГОКОКНА ИНФЕКЦИЈА НЕОЗНАЧЕНО  
213%|А40%|0%|СТРЕПТОКОКНА СЕПТИКЕМИЈА   
214%|А40%|0%|СЕПТИКЕМИЈА ПРЕДИЗВИКАНА СО СТРЕПТОКОК ГРУПА А  
215%|А40%|1%|СЕПТИКЕМИЈА ПРЕДИЗВИКАНА СО СТРЕПТОКОК ГРУПА B  
216%|А40%|2%|СЕПТИКЕМИЈА ПРЕДИЗВИКАНА СО СТРЕПТОКОК ГРУПА D  
217%|А40%|3%|СЕПТИКЕМИЈА ПРЕДИЗВКАНА СО STREPTOCOCCUS PNEUMONIAE   
218%|А40%|8%|ДРУГА СТРЕПТОКОКНА СЕПТИКЕМИЈА   
219%|А40%|9%|СТРЕПТОКОКНА СЕПТИКЕМИЈА НЕОЗНАЧЕНО  
220%|А41%|0%|ДРУГА СЕПТИКЕМИЈА   
221%|А41%|0%|СЕПТИКЕМИЈА ПРЕДИЗВИКАНА СО STAPHYLOCOCCUS AUREUS   
222%|А41%|1%|СЕПТИКЕМИЈА ПРЕДИЗВИКАНА СО ДРУГ ОЗНАЧЕН СТАФИЛОКОК   
223%|А41%|2%|СЕПТИКЕМИЈА ПРЕДИЗВИКАНА СО НЕОЗНАЧЕН СТАФИЛОКОК   
224%|А41%|3%|СЕПТИКЕМИЈА ПРЕДИЗВИКАНА СО HAEMOPHILUS INFLUENZAE   
225%|А41%|4%|СЕПТИКЕМИЈА ПРЕДИЗВИКАНА СО АНАЕРОБИ   
226%|А41%|5%|СЕПТИКЕМИЈА ПРЕДИЗВИКАНА СО ДРУГИ ГРАМ-НЕГАТИВНИ МИКРООРГАНИЗМИ   
227%|А41%|8%|ДРУГА ОЗНАЧЕНА СЕПТИКЕМИЈА   
228%|А41%|9%|СЕПТИКЕМИЈА НЕОЗНАЧЕНО  
229%|А42%|0%|АКТИНОМИКОЗА   
230%|А42%|0%|ПУЛМОНАЛНА АКТИНОМИКОЗА   
231%|А42%|1%|АБДОМИНАЛНА АКТИНОМИКОЗА   
232%|А42%|2%|ЦЕРВИКОФАЦИЈАЛНА АКТИНОМИКОЗА   
233%|А42%|7%|АКТИНОМИКОТИЧНА СЕПТИКЕМИЈА   
234%|А42%|8%|ДРУГИ ФОРМИ НА АКТИНОМИКОЗА   
235%|А42%|9%|АКТИНОМИКОЗА НЕОЗНАЧЕНО  
236%|А43%|0%|НОКАРДИОЗА   
237%|А43%|0%|ПУЛМОНАЛНА НОКАРДИОЗА   
238%|А43%|1%|КУТАНА НОКАРДИОЗА   
239%|А43%|8%|ДРУГИ ФОРМИ НА НОКАРДИОЗА   
240%|А43%|9%|НОКАРДИОЗА НЕОЗНАЧЕНО  
241%|А44%|0%|БАРТОНЕЛОЗА   
242%|А44%|0%|СИСТЕМСКА БАРТОНЕЛОЗА   
243%|А44%|1%|КУТАНА И МУКОКУТАНА БАРТОНЕЛОЗА   
244%|А44%|8%|ДРУГИ ФОРМИ НА БАРТОНЕЛОЗА   
245%|А44%|9%|БАРТОНЕЛОЗА НЕОЗНАЧЕНО  
246%|А46%|0%|ЕРИЗИПЕЛ   
247%|А48%|0%|ДРУГИ БАКТЕРИСКИ БОЛЕСТИ НЕКЛАСИФИЦИРАНИ НА ДРУГО МЕСТО  
248%|А48%|0%|ГАСНА ГАНГРЕНА   
249%|А48%|1%|ЛЕГИОНЕРСКА БОЛЕСТ   
250%|А48%|2%|НЕПНЕВМОНИЧНА ЛЕГИОНЕРСКА БОЛЕСТ(PONTIAC ТРЕСКА)   
251%|А48%|3%|ТОКСИЧЕН ШОК СИНДРОМ   
252%|А48%|4%|БРАЗИЛСКА ПУРПУРНА ТРЕСКА   
253%|А48%|8%|ДРУГИ ОЗНАЧЕНИ БАКТЕРИСКИ БОЛЕСТИ   
254%|А49%|0%|БАКТЕРИСКА ИНФЕКЦИЈА НЕОЗНАЧЕНА ЛОКАЛИЗАЦИЈА  
255%|А49%|0%|СТАФИЛОКОКНА ИНФЕКЦИЈА НЕОЗНАЧЕНО  
256%|А49%|1%|СТРЕПТОКОКНА ИНФЕКЦИЈА НЕОЗНАЧЕНО  
257%|А49%|2%|ИНФЕКЦИЈА ПРЕДИЗВИКАНА СО HAEMOPHILUS INFLUENZAE НЕОЗАНЧЕНО  
258%|А49%|3%|МИКОПЛАЗМАЛНА ИНФЕКЦИЈА НЕОЗНАЧЕНО  
259%|А49%|8%|ДРУГИ БАКТЕРИСКИ ИНФЕКЦИИ НА НЕОЗНАЧЕНА ЛОКАЛИЗАЦИЈА   
260%|А49%|9%|БАКТЕРИСКА ИНФЕКЦИЈА НЕОЗНАЧЕНО  
261%|А50%|0%|КОНГЕНИТАЛЕН СИФИЛИС   
262%|А50%|0%|РАН КОНГЕНИТАЛЕН СИФИЛИС СИМПТОМАТСКИ  
263%|А50%|1%|РАН КОНГЕНИТАЛЕН СИФИЛИС ЛАТЕНТЕН  
264%|А50%|2%|РАН КОНГЕНИТАЛЕН СИФИЛИС НЕОЗНАЧЕНО  
265%|А50%|3%|ДОЦНА КОНГЕНИТАЛНА СИФИЛИСТИЧНА ОКУЛОПАТИЈА   
266%|А50%|4%|ДОЦЕН КОНГЕНИТАЛЕН НЕВРОСИФИЛИС(ЈУВЕНИЛЕН НЕВРОСИФИЛИС)   
267%|А50%|5%|ДРУГ ДОЦЕН КОНГЕНИТАЛЕН СИФИЛИС СИМПТОМАТСКИ  
268%|А50%|6%|ДОЦЕН КОНГЕНИТАЛЕН СИФИЛИС ЛАТЕНТЕН  
269%|А50%|7%|ДОЦЕН КОНГЕНИТАЛЕН СИФИЛИС НЕОЗНАЧЕНО  
270%|А50%|9%|КОНГЕНИТАЛЕН СИФИЛИС НЕОЗНАЧЕНО  
271%|А51%|0%|РАН СИФИЛИС   
272%|А51%|0%|ПРИМАРЕН ГЕНИТАЛЕН СИФИЛИС   
273%|А51%|1%|ПРИМАРЕН АНАЛЕН СИФИЛИС   
274%|А51%|2%|ПРИМАРЕН СИФИЛИС НА ДРУГИ ЛОКАЛИЗАЦИИ   
275%|А51%|3%|СЕКУНДАРЕН СИФИЛИС НА КОЖАТА И МУКОЗНИТЕ МЕМБРАНИ   
276%|А51%|4%|ДРУГ СЕКУНДАРЕН СИФИЛИС   
277%|А51%|5%|РАН СИФИЛИС ЛАТЕНТЕН  
278%|А51%|9%|РАН СИФИЛИС НЕОЗНАЧЕНО  
279%|А52%|0%|ДОЦЕН СИФИЛИС   
280%|А52%|0+%|КАРДИОВАСКУЛАРЕН СИФИЛИС   
281%|А52%|1%|СИМПТОМАТСКИ НЕВРОСИФИЛИС   
282%|А52%|2%|АСИМПТОМАТСКИ НЕВРОСИФИЛИС   
283%|А52%|3%|НЕВРОСИФИЛИС НЕОЗНАЧЕНО  
284%|А52%|7%|ДРУГ СИМПТОМАТСКИ ДОЦЕН СИФИЛИС   
285%|А52%|8%|ДОЦЕН СИФИЛИС ЛАТЕНТЕН  
